BE No,BE Date,Job No,HAWB/HBL No,AWB/BL No.,Type Of B/E,No Of Pkgs,Unit,Invoice Number,
9239824,02-Apr-2025,IR/49512/25-26,VIS82001163,09809050440,Home,5,PKG,"395737281, 395737282, 395737285",
9232742,01-Apr-2025,IR/49513/25-26,ORD0611488,12519198631,Home,4,PKG,"127896-21399270, 127982-21399600, 127986-21399602, 127896-21399606",
9397280,09-Apr-2025,IR/49514/25-26,,DAHPKGNSA2522043,Home,"3,984",CTN,"871481785, 871481787, 871484411, 871484412",
9506578,15-Apr-2025,IR/49515/25-26,,S327015796,Home,25,UNT,1338028006,
9497058,15-Apr-2025,IR/49516/25-26,,S327081545,Home,6,UNT,"20363506, 20355852",
9492899,15-Apr-2025,IR/49517/25-26,,S327080395,Home,4,UNT,"103492, 103512, 103778, 104330",
9684328,24-Apr-2025,IR/49518/25-26,,HOEGTM04BRMU0102,Home,32,UNT,"1003502802, 1003502895, 1003503055, 1003503632, 1003512034, 1003519198, 1003520966, 1003521914, 1003524592, 1003524658 ...+22 more",
9689487,25-Apr-2025,IR/49519/25-26,,HOEGTM04SOMU2101,Home,23,UNT,"1230351597, 1230351659, 1230351667, 1230351672, 1230352463, 1230352481, 1230352518, 1230352526, 1230352738, 1230352809 ...+13 more",
9476971,14-Apr-2025,IR/49520/25-26,,HOEGTM04BRMU0103,Home,1,UNT,1003545494,
9476974,14-Apr-2025,IR/49521/25-26,,HOEGTM04BRMU0105,Home,1,UNT,1003547628,
9476977,14-Apr-2025,IR/49522/25-26,,HOEGTM04BRMU0101,Home,5,UNT,"1003565932, 1003567514, 1003570568, 1003580896, 1003592885",
9624120,21-Apr-2025,IR/49523/25-26,,S2500855843,Home,872,CTN,"15269342-1, 15267574-2",
9283506,04-Apr-2025,IR/49524/25-26,,PENS2500170,Home,528,CTN,15267357-1,
9308240,05-Apr-2025,IR/49525/25-26,,S2500974116,Home,879,CTN,"15267500-1, 15268560-1, 15269595-1",
9796340,30-Apr-2025,IR/49526/25-26,SIL20003859,ONEYRICF34982900,Home,3,CRT,23744,
9256949,02-Apr-2025,IR/49527/25-26,01PEN0340190,A17FX02891,Home,11,PLT,"871519323, 871519324, 871519325",
9288020,04-Apr-2025,IR/49528/25-26,,OH24120008,Ex-Bond,545,CAS,2024/MIBV/000108,
9232732,01-Apr-2025,IR/49529/25-26,VIS82001161,72478048552,Home,2,PKG,"395737234, 395737235",
9345533,07-Apr-2025,IR/49530/25-26,,CSX25PENNSA012138,Home,237,PKG,"871520731, 871520851",
9276423,03-Apr-2025,IR/49531/25-26,ORD0598401,NAM7432444,Home,40,PLT,"0619569093, 0618896715, 0618896716",
9231556,01-Apr-2025,IR/49532/25-26,4840702678,60737207601,SEZ-T,1,PKG,250312485,
9276794,03-Apr-2025,IR/49533/25-26,ORD0598396,NAM7432699,Home,40,PLT,0619566915,
9277145,03-Apr-2025,IR/49534/25-26,ORD0598394,NAM7430806,Home,40,PLT,0619571907,
9277545,03-Apr-2025,IR/49535/25-26,ORD0598383,NAM7432672,Home,40,PLT,0619566916,
9277678,03-Apr-2025,IR/49536/25-26,ORD0598389,NAM7430700,Home,40,PLT,0619564550,
9277562,03-Apr-2025,IR/49537/25-26,ORD0598400,NAM7432891,Home,40,PLT,0619569092,
9277736,03-Apr-2025,IR/49538/25-26,ORD0598398,NAM7432684,Home,40,PLT,0619595861,
9231559,01-Apr-2025,IR/49539/25-26,4840702679,60737207601,SEZ-T,1,PKG,250312356,
9340873,07-Apr-2025,IR/49540/25-26,,BKK1214808,Home,18,PLT,LED0125010003,
9340839,07-Apr-2025,IR/49541/25-26,,BKK1215838,Home,15,PLT,"LED0125010081, LED0125010083",
9340855,07-Apr-2025,IR/49542/25-26,,BKK1218894,Home,14,PLT,LED0125020007,
